id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJGRXypkbPBZERcrJmiXyAFfE,https://www.google.com/maps/place/?q=place_id:ChIJGRXypkbPBZERcrJmiXyAFfE,MAYRA'S Barra Cevichera,Restaurante peruano,"Av. Jacinto Benavente 225, Lima 15094",937 474 174,+51 937 474 174,facebook.com,https://www.facebook.com/BarraCevicheriaMAYRAS/,"-12.0248245,-77.028031",4,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJCcTwpg_PrpERukkhzsANrio,https://www.google.com/maps/place/?q=place_id:ChIJCcTwpg_PrpERukkhzsANrio,Restaurant Cevichería La Curva del Amor,Restaurante,"Jr Huaraz con Jr, Centenario S/N, Pomabamba 02260",926 812 100,+51 926 812 100,,,"-8.8210993,-77.4603238",4.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJ0cIHkwA7t5ERarDH3Cy7fpE,https://www.google.com/maps/place/?q=place_id:ChIJ0cIHkwA7t5ERarDH3Cy7fpE,Restaurant Cevichería Sazón y Limón,Restaurante,"Jirón Junín 550, Moyobamba 22001",999 935 530,+51 999 935 530,,,"-6.0334441,-76.9652766",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJzZyOZkk7t5ERtFslNIapk4I,https://www.google.com/maps/place/?q=place_id:ChIJzZyOZkk7t5ERtFslNIapk4I,restaurant cebicheria Mar Piurano,Restaurante,"387, Moyobamba 22001",978 933 599,+51 978 933 599,,,"-6.0353153,-76.9624906",4.3,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJAaH7SgA7t5ERAg8PBS23yYs,https://www.google.com/maps/place/?q=place_id:ChIJAaH7SgA7t5ERAg8PBS23yYs,El Tiburón Cevicheria,Restaurante,"Pje. San Carlos 120, Moyobamba 22001",948 552 704,+51 948 552 704,,,"-6.0420286999999995,-76.9679937",2.5,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,https://www.google.com/maps/place/?q=place_id:ChIJXUvVxwA7t5ERZ5ZsjAdG9ZY,Restaurant Cevichería Frutos del Mar,Restaurante,"Jr. Libertad N° 210, Moyobamba 22001",,,,,"-6.0323446999999994,-76.9657077",4.1,,"Cevichería en el distrito de Yambrasbamba, Bongará, Amazonas, Perú"
