id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJv2IKXACHEpERdjc_bm6boms,https://www.google.com/maps/place/?q=place_id:ChIJv2IKXACHEpERdjc_bm6boms,Leña & Carbón,Restaurante,"Av. Cusco 335, Ayacucho 05002",,,pide.getjusto.com,https://pide.getjusto.com/order/zk3q6Kf4f9oH6gr6g?rwg_token=ACgRB3fxrEbZVGYZ8cB3UgaAKeM_WgaeiNg0XTP64BmmSS_8Q0TCnlvXEimCbb_tzbCaogWU7yOZF4E4xCCXNDqJywe5QG9VpyKNwRreXk5GwISAf3LNyFI%3D,"-13.1686993,-74.21150779999999",3.9,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJI9_TA_N9EpERI09W1ZbqTOM,https://www.google.com/maps/place/?q=place_id:ChIJI9_TA_N9EpERI09W1ZbqTOM,Leña & Carbón,Restaurante,"Jirón Lima 107, Ayacucho 05003",(066) 631574,+51 66 631574,lenaycarbon.com,http://lenaycarbon.com/,"-13.1608281,-74.22663519999999",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJ7_PfCWGHEpER8D0kY5mC8O8,https://www.google.com/maps/place/?q=place_id:ChIJ7_PfCWGHEpER8D0kY5mC8O8,Granja Quispe,Granja avícola,"Av. Mariscal Ramon Castilla Nro. 876 Int. B (Paradero Control), 3S, Ayacucho",989 577 616,+51 989 577 616,,,"-13.1668028,-74.2144462",3.8,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
ChIJefTBLN25BZERurEsHMZz7vw,https://www.google.com/maps/place/?q=place_id:ChIJefTBLN25BZERurEsHMZz7vw,restaurant vilcas (pollería & Parrillas),Restaurante especializado en pollo,"Av. San Juan mz d, Santiago de Surco 15058",928 341 223,+51 928 341 223,facebook.com,https://www.facebook.com/restaurantvilcasoficial/,"-12.193085499999999,-76.98190989999999",4.1,,"Pollería en el distrito de Accomarca, Vilcas Huamán, Ayacucho, Perú"
