id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJRz1T7jVKQpER8916Ot8rmMg,https://www.google.com/maps/place/?q=place_id:ChIJRz1T7jVKQpER8916Ot8rmMg,Polleria El Gordo,Restaurante especializado en pollo,"Av. las Torres, Alto Selva Alegre 04003",970 829 121,+51 970 829 121,facebook.com,https://www.facebook.com/Polleria-EL-GORDO-ASA-las-torres-110452480786432/,"-16.3802509,-71.52991659999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJlbddwHZKQpERspLc8DJ7xY0,https://www.google.com/maps/place/?q=place_id:ChIJlbddwHZKQpERspLc8DJ7xY0,MAC CHICKEN BRASS,Restaurante especializado en pollo,"Gonzales Prada 110, Arequipa 04014",996 625 705,+51 996 625 705,,,"-16.3915853,-71.56772889999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJMRG3_ThLQpERBdINlWxn00M,https://www.google.com/maps/place/?q=place_id:ChIJMRG3_ThLQpERBdINlWxn00M,Polleria Machelo,Restaurante especializado en pollo,"C. Jerusalén 119, Arequipa 04001",949 207 083,+51 949 207 083,,,"-16.3982662,-71.5337689",4.1,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ4WePQS1KQpERUlpoSi7vT9c,https://www.google.com/maps/place/?q=place_id:ChIJ4WePQS1KQpERUlpoSi7vT9c,Pollería el gordito,Restaurante especializado en pollo,"Avenida Francisco Mostajo, 420B Zona A Independencia, Alto Selva Alegre",984 745 335,+51 984 745 335,facebook.com,https://www.facebook.com/PolleriaElGordito/,"-16.368353799999998,-71.5262959",3.8,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJVwB1ZTVLQpER7h5iX8i6rgQ,https://www.google.com/maps/place/?q=place_id:ChIJVwB1ZTVLQpER7h5iX8i6rgQ,Polleria El Gordo,Restaurante,"C. Elias Aguirre 833-809, Arequipa 04003",959 008 506,+51 959 008 506,,,"-16.3658041,-71.5174739",3.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJmZyxB-FKQpERFMAupGnRDlU,https://www.google.com/maps/place/?q=place_id:ChIJmZyxB-FKQpERFMAupGnRDlU,Pollería La Rosticeria AQP,Restaurante,"Los Cedros 17 URB, José Luis Bustamante y Rivero 04002",992 372 281,+51 992 372 281,facebook.com,https://www.facebook.com/LaRosticeriaAQP/,"-16.4226255,-71.5280918",4.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJj4uMw21LQpERnHLDev_cLxM,https://www.google.com/maps/place/?q=place_id:ChIJj4uMw21LQpERnHLDev_cLxM,Pollería Pimpollos,Restaurante especializado en pollo,Arequipa 04001,973 216 296,+51 973 216 296,,,"-16.4001618,-71.5452991",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJGfO2MQBLQpERSjPltHumLVw,https://www.google.com/maps/place/?q=place_id:ChIJGfO2MQBLQpERSjPltHumLVw,POLLERIA El CAPIBARA,Restaurante especializado en pollo,"Av. Socabaya 306, Arequipa 04012",903 463 166,+51 903 463 166,,,"-16.4396681,-71.52979979999999",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJDSVuZdG0Q5ERgfZNYP8vJtg,https://www.google.com/maps/place/?q=place_id:ChIJDSVuZdG0Q5ERgfZNYP8vJtg,Polleria El Juanito,Restaurante especializado en pollo,"GFWM+962, Arequipa, Cercado De Arequipa",959 250 465,+51 959 250 465,,,"-16.4541181,-71.5169883",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ1W8Y4sg1QpERKSbuohOCZ8c,https://www.google.com/maps/place/?q=place_id:ChIJ1W8Y4sg1QpERKSbuohOCZ8c,La Polleria El Ruso,Restaurante especializado en pollo,"Progreso 403, Arequipa 04013",944 804 029,+51 944 804 029,,,"-16.4151862,-71.5808936",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJM9IOTplLQpERaffFUz_SzTU,https://www.google.com/maps/place/?q=place_id:ChIJM9IOTplLQpERaffFUz_SzTU,B&G Sabroso,Restaurante especializado en pollo,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04009",956 709 646,+51 956 709 646,,,"-16.4294032,-71.5240176",4.2,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJs18suj5LQpERsM4OBw4PX44,https://www.google.com/maps/place/?q=place_id:ChIJs18suj5LQpERsM4OBw4PX44,"POLLERIA ""FREDDO´S""",Restaurante,"Av. Mariscal Castilla 2499-2401, Arequipa 04007",,,,,"-16.4143658,-71.4990072",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJBbYhVtZLQpER0r7LNobFiJQ,https://www.google.com/maps/place/?q=place_id:ChIJBbYhVtZLQpER0r7LNobFiJQ,El Sabroso Pollería,Restaurante especializado en pollo,"Urb, José Luis Bustamante y Rivero",(054) 777684,+51 54 777684,,,"-16.4293645,-71.5238938",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJdfiIia9LQpERwd_yLsaHwOA,https://www.google.com/maps/place/?q=place_id:ChIJdfiIia9LQpERwd_yLsaHwOA,EL GORDO,Restaurante,"JF4P+WP4, C. Sanchez Trujillo, Arequipa 04001",944 301 414,+51 944 301 414,facebook.com,https://www.facebook.com/Polleriaelgordooficial/,"-16.392737099999998,-71.5131838",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ3S-H7Xs1QpERbsCjZMu2-IA,https://www.google.com/maps/place/?q=place_id:ChIJ3S-H7Xs1QpERbsCjZMu2-IA,Polleria La Curva,Restaurante,"Progreso 311, Arequipa 04013",944 676 628,+51 944 676 628,,,"-16.415029,-71.5790524",3.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJRz1T7jVKQpER8916Ot8rmMg,https://www.google.com/maps/place/?q=place_id:ChIJRz1T7jVKQpER8916Ot8rmMg,Polleria El Gordo,Restaurante especializado en pollo,"Av. las Torres, Alto Selva Alegre 04003",970 829 121,+51 970 829 121,facebook.com,https://www.facebook.com/Polleria-EL-GORDO-ASA-las-torres-110452480786432/,"-16.3802509,-71.52991659999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJlbddwHZKQpERspLc8DJ7xY0,https://www.google.com/maps/place/?q=place_id:ChIJlbddwHZKQpERspLc8DJ7xY0,MAC CHICKEN BRASS,Restaurante especializado en pollo,"Gonzales Prada 110, Arequipa 04014",996 625 705,+51 996 625 705,,,"-16.3915853,-71.56772889999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJMRG3_ThLQpERBdINlWxn00M,https://www.google.com/maps/place/?q=place_id:ChIJMRG3_ThLQpERBdINlWxn00M,Polleria Machelo,Restaurante especializado en pollo,"C. Jerusalén 119, Arequipa 04001",949 207 083,+51 949 207 083,,,"-16.3982662,-71.5337689",4.1,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ4WePQS1KQpERUlpoSi7vT9c,https://www.google.com/maps/place/?q=place_id:ChIJ4WePQS1KQpERUlpoSi7vT9c,Pollería el gordito,Restaurante especializado en pollo,"Avenida Francisco Mostajo, 420B Zona A Independencia, Alto Selva Alegre",984 745 335,+51 984 745 335,facebook.com,https://www.facebook.com/PolleriaElGordito/,"-16.368353799999998,-71.5262959",3.8,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJVwB1ZTVLQpER7h5iX8i6rgQ,https://www.google.com/maps/place/?q=place_id:ChIJVwB1ZTVLQpER7h5iX8i6rgQ,Polleria El Gordo,Restaurante,"C. Elias Aguirre 833-809, Arequipa 04003",959 008 506,+51 959 008 506,,,"-16.3658041,-71.5174739",3.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJmZyxB-FKQpERFMAupGnRDlU,https://www.google.com/maps/place/?q=place_id:ChIJmZyxB-FKQpERFMAupGnRDlU,Pollería La Rosticeria AQP,Restaurante,"Los Cedros 17 URB, José Luis Bustamante y Rivero 04002",992 372 281,+51 992 372 281,facebook.com,https://www.facebook.com/LaRosticeriaAQP/,"-16.4226255,-71.5280918",4.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJj4uMw21LQpERnHLDev_cLxM,https://www.google.com/maps/place/?q=place_id:ChIJj4uMw21LQpERnHLDev_cLxM,Pollería Pimpollos,Restaurante especializado en pollo,Arequipa 04001,973 216 296,+51 973 216 296,,,"-16.4001618,-71.5452991",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJGfO2MQBLQpERSjPltHumLVw,https://www.google.com/maps/place/?q=place_id:ChIJGfO2MQBLQpERSjPltHumLVw,POLLERIA El CAPIBARA,Restaurante especializado en pollo,"Av. Socabaya 306, Arequipa 04012",903 463 166,+51 903 463 166,,,"-16.4396681,-71.52979979999999",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJDSVuZdG0Q5ERgfZNYP8vJtg,https://www.google.com/maps/place/?q=place_id:ChIJDSVuZdG0Q5ERgfZNYP8vJtg,Polleria El Juanito,Restaurante especializado en pollo,"GFWM+962, Arequipa, Cercado De Arequipa",959 250 465,+51 959 250 465,,,"-16.4541181,-71.5169883",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ1W8Y4sg1QpERKSbuohOCZ8c,https://www.google.com/maps/place/?q=place_id:ChIJ1W8Y4sg1QpERKSbuohOCZ8c,La Polleria El Ruso,Restaurante especializado en pollo,"Progreso 403, Arequipa 04013",944 804 029,+51 944 804 029,,,"-16.4151862,-71.5808936",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJM9IOTplLQpERaffFUz_SzTU,https://www.google.com/maps/place/?q=place_id:ChIJM9IOTplLQpERaffFUz_SzTU,B&G Sabroso,Restaurante especializado en pollo,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04009",956 709 646,+51 956 709 646,,,"-16.4294032,-71.5240176",4.2,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJs18suj5LQpERsM4OBw4PX44,https://www.google.com/maps/place/?q=place_id:ChIJs18suj5LQpERsM4OBw4PX44,"POLLERIA ""FREDDO´S""",Restaurante,"Av. Mariscal Castilla 2499-2401, Arequipa 04007",,,,,"-16.4143658,-71.4990072",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJBbYhVtZLQpER0r7LNobFiJQ,https://www.google.com/maps/place/?q=place_id:ChIJBbYhVtZLQpER0r7LNobFiJQ,El Sabroso Pollería,Restaurante especializado en pollo,"Urb, José Luis Bustamante y Rivero",(054) 777684,+51 54 777684,,,"-16.4293645,-71.5238938",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJdfiIia9LQpERwd_yLsaHwOA,https://www.google.com/maps/place/?q=place_id:ChIJdfiIia9LQpERwd_yLsaHwOA,EL GORDO,Restaurante,"JF4P+WP4, C. Sanchez Trujillo, Arequipa 04001",944 301 414,+51 944 301 414,facebook.com,https://www.facebook.com/Polleriaelgordooficial/,"-16.392737099999998,-71.5131838",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ3S-H7Xs1QpERbsCjZMu2-IA,https://www.google.com/maps/place/?q=place_id:ChIJ3S-H7Xs1QpERbsCjZMu2-IA,Polleria La Curva,Restaurante,"Progreso 311, Arequipa 04013",944 676 628,+51 944 676 628,,,"-16.415029,-71.5790524",3.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJRz1T7jVKQpER8916Ot8rmMg,https://www.google.com/maps/place/?q=place_id:ChIJRz1T7jVKQpER8916Ot8rmMg,Polleria El Gordo,Restaurante especializado en pollo,"Av. las Torres, Alto Selva Alegre 04003",970 829 121,+51 970 829 121,facebook.com,https://www.facebook.com/Polleria-EL-GORDO-ASA-las-torres-110452480786432/,"-16.3802509,-71.52991659999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJlbddwHZKQpERspLc8DJ7xY0,https://www.google.com/maps/place/?q=place_id:ChIJlbddwHZKQpERspLc8DJ7xY0,MAC CHICKEN BRASS,Restaurante especializado en pollo,"Gonzales Prada 110, Arequipa 04014",996 625 705,+51 996 625 705,,,"-16.3915853,-71.56772889999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJMRG3_ThLQpERBdINlWxn00M,https://www.google.com/maps/place/?q=place_id:ChIJMRG3_ThLQpERBdINlWxn00M,Polleria Machelo,Restaurante especializado en pollo,"C. Jerusalén 119, Arequipa 04001",949 207 083,+51 949 207 083,,,"-16.3982662,-71.5337689",4.1,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ4WePQS1KQpERUlpoSi7vT9c,https://www.google.com/maps/place/?q=place_id:ChIJ4WePQS1KQpERUlpoSi7vT9c,Pollería el gordito,Restaurante especializado en pollo,"Avenida Francisco Mostajo, 420B Zona A Independencia, Alto Selva Alegre",984 745 335,+51 984 745 335,facebook.com,https://www.facebook.com/PolleriaElGordito/,"-16.368353799999998,-71.5262959",3.8,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJVwB1ZTVLQpER7h5iX8i6rgQ,https://www.google.com/maps/place/?q=place_id:ChIJVwB1ZTVLQpER7h5iX8i6rgQ,Polleria El Gordo,Restaurante,"C. Elias Aguirre 833-809, Arequipa 04003",959 008 506,+51 959 008 506,,,"-16.3658041,-71.5174739",3.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJmZyxB-FKQpERFMAupGnRDlU,https://www.google.com/maps/place/?q=place_id:ChIJmZyxB-FKQpERFMAupGnRDlU,Pollería La Rosticeria AQP,Restaurante,"Los Cedros 17 URB, José Luis Bustamante y Rivero 04002",992 372 281,+51 992 372 281,facebook.com,https://www.facebook.com/LaRosticeriaAQP/,"-16.4226255,-71.5280918",4.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJj4uMw21LQpERnHLDev_cLxM,https://www.google.com/maps/place/?q=place_id:ChIJj4uMw21LQpERnHLDev_cLxM,Pollería Pimpollos,Restaurante especializado en pollo,Arequipa 04001,973 216 296,+51 973 216 296,,,"-16.4001618,-71.5452991",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJGfO2MQBLQpERSjPltHumLVw,https://www.google.com/maps/place/?q=place_id:ChIJGfO2MQBLQpERSjPltHumLVw,POLLERIA El CAPIBARA,Restaurante especializado en pollo,"Av. Socabaya 306, Arequipa 04012",903 463 166,+51 903 463 166,,,"-16.4396681,-71.52979979999999",4.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJDSVuZdG0Q5ERgfZNYP8vJtg,https://www.google.com/maps/place/?q=place_id:ChIJDSVuZdG0Q5ERgfZNYP8vJtg,Polleria El Juanito,Restaurante especializado en pollo,"GFWM+962, Arequipa, Cercado De Arequipa",959 250 465,+51 959 250 465,,,"-16.4541181,-71.5169883",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ1W8Y4sg1QpERKSbuohOCZ8c,https://www.google.com/maps/place/?q=place_id:ChIJ1W8Y4sg1QpERKSbuohOCZ8c,La Polleria El Ruso,Restaurante especializado en pollo,"Progreso 403, Arequipa 04013",944 804 029,+51 944 804 029,,,"-16.4151862,-71.5808936",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJM9IOTplLQpERaffFUz_SzTU,https://www.google.com/maps/place/?q=place_id:ChIJM9IOTplLQpERaffFUz_SzTU,B&G Sabroso,Restaurante especializado en pollo,"Av. Estados Unidos 12, José Luis Bustamante y Rivero 04009",956 709 646,+51 956 709 646,,,"-16.4294032,-71.5240176",4.2,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJs18suj5LQpERsM4OBw4PX44,https://www.google.com/maps/place/?q=place_id:ChIJs18suj5LQpERsM4OBw4PX44,"POLLERIA ""FREDDO´S""",Restaurante,"Av. Mariscal Castilla 2499-2401, Arequipa 04007",,,,,"-16.4143658,-71.4990072",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJBbYhVtZLQpER0r7LNobFiJQ,https://www.google.com/maps/place/?q=place_id:ChIJBbYhVtZLQpER0r7LNobFiJQ,El Sabroso Pollería,Restaurante especializado en pollo,"Urb, José Luis Bustamante y Rivero",(054) 777684,+51 54 777684,,,"-16.4293645,-71.5238938",4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJdfiIia9LQpERwd_yLsaHwOA,https://www.google.com/maps/place/?q=place_id:ChIJdfiIia9LQpERwd_yLsaHwOA,EL GORDO,Restaurante,"JF4P+WP4, C. Sanchez Trujillo, Arequipa 04001",944 301 414,+51 944 301 414,facebook.com,https://www.facebook.com/Polleriaelgordooficial/,"-16.392737099999998,-71.5131838",3.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ3S-H7Xs1QpERbsCjZMu2-IA,https://www.google.com/maps/place/?q=place_id:ChIJ3S-H7Xs1QpERbsCjZMu2-IA,Polleria La Curva,Restaurante,"Progreso 311, Arequipa 04013",944 676 628,+51 944 676 628,,,"-16.415029,-71.5790524",3.5,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJRz1T7jVKQpER8916Ot8rmMg,https://www.google.com/maps/place/?q=place_id:ChIJRz1T7jVKQpER8916Ot8rmMg,Polleria El Gordo,Restaurante especializado en pollo,"Av. las Torres, Alto Selva Alegre 04003",970 829 121,+51 970 829 121,facebook.com,https://www.facebook.com/Polleria-EL-GORDO-ASA-las-torres-110452480786432/,"-16.3802509,-71.52991659999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJlbddwHZKQpERspLc8DJ7xY0,https://www.google.com/maps/place/?q=place_id:ChIJlbddwHZKQpERspLc8DJ7xY0,MAC CHICKEN BRASS,Restaurante especializado en pollo,"Gonzales Prada 110, Arequipa 04014",996 625 705,+51 996 625 705,,,"-16.3915853,-71.56772889999999",3.7,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJMRG3_ThLQpERBdINlWxn00M,https://www.google.com/maps/place/?q=place_id:ChIJMRG3_ThLQpERBdINlWxn00M,Polleria Machelo,Restaurante especializado en pollo,"C. Jerusalén 119, Arequipa 04001",949 207 083,+51 949 207 083,,,"-16.3982662,-71.5337689",4.1,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJ4WePQS1KQpERUlpoSi7vT9c,https://www.google.com/maps/place/?q=place_id:ChIJ4WePQS1KQpERUlpoSi7vT9c,Pollería el gordito,Restaurante especializado en pollo,"Avenida Francisco Mostajo, 420B Zona A Independencia, Alto Selva Alegre",984 745 335,+51 984 745 335,facebook.com,https://www.facebook.com/PolleriaElGordito/,"-16.368353799999998,-71.5262959",3.8,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJmZyxB-FKQpERFMAupGnRDlU,https://www.google.com/maps/place/?q=place_id:ChIJmZyxB-FKQpERFMAupGnRDlU,Pollería La Rosticeria AQP,Restaurante,"Los Cedros 17 URB, José Luis Bustamante y Rivero 04002",992 372 281,+51 992 372 281,facebook.com,https://www.facebook.com/LaRosticeriaAQP/,"-16.4226255,-71.5280918",4.4,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJVwB1ZTVLQpER7h5iX8i6rgQ,https://www.google.com/maps/place/?q=place_id:ChIJVwB1ZTVLQpER7h5iX8i6rgQ,Polleria El Gordo,Restaurante,"C. Elias Aguirre 833-809, Arequipa 04003",959 008 506,+51 959 008 506,,,"-16.3658041,-71.5174739",3.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Chichas, Condesuyos, Arequipa, Perú"
